Date,Location,Species,Count,Temp_C,Rainfall_7day_mm
2024-09-01,Namadgi NP ACT,Bogong Moth,25,11.2,18.5
2024-09-01,Namadgi NP ACT,Golden Stag Beetle,4,11.2,18.5
2024-09-01,Namadgi NP ACT,Mountain Grasshopper,8,11.2,18.5
2024-09-01,Namadgi NP ACT,Blue Ant Wasp,7,11.2,18.5
2024-09-01,Namadgi NP ACT,Alpine Jewel Beetle,3,11.2,18.5
2024-09-01,Namadgi NP ACT,Crimson Cicada,12,11.2,18.5
2024-09-08,Namadgi NP ACT,Bogong Moth,32,12.4,22.1
2024-09-08,Namadgi NP ACT,Golden Stag Beetle,5,12.4,22.1
2024-09-08,Namadgi NP ACT,Mountain Grasshopper,11,12.4,22.1
2024-09-08,Namadgi NP ACT,Blue Ant Wasp,9,12.4,22.1
2024-09-08,Namadgi NP ACT,Alpine Jewel Beetle,4,12.4,22.1
2024-09-08,Namadgi NP ACT,Crimson Cicada,16,12.4,22.1
2024-09-15,Namadgi NP ACT,Bogong Moth,42,13.1,15.4
2024-09-15,Namadgi NP ACT,Golden Stag Beetle,6,13.1,15.4
2024-09-15,Namadgi NP ACT,Mountain Grasshopper,14,13.1,15.4
2024-09-15,Namadgi NP ACT,Blue Ant Wasp,10,13.1,15.4
2024-09-15,Namadgi NP ACT,Alpine Jewel Beetle,5,13.1,15.4
2024-09-15,Namadgi NP ACT,Crimson Cicada,22,13.1,15.4
2024-09-22,Namadgi NP ACT,Bogong Moth,55,13.8,19.8
2024-09-22,Namadgi NP ACT,Golden Stag Beetle,8,13.8,19.8
2024-09-22,Namadgi NP ACT,Mountain Grasshopper,18,13.8,19.8
2024-09-22,Namadgi NP ACT,Blue Ant Wasp,12,13.8,19.8
2024-09-22,Namadgi NP ACT,Alpine Jewel Beetle,6,13.8,19.8
2024-09-22,Namadgi NP ACT,Crimson Cicada,30,13.8,19.8
2024-09-29,Namadgi NP ACT,Bogong Moth,68,14.5,16.2
2024-09-29,Namadgi NP ACT,Golden Stag Beetle,9,14.5,16.2
2024-09-29,Namadgi NP ACT,Mountain Grasshopper,22,14.5,16.2
2024-09-29,Namadgi NP ACT,Blue Ant Wasp,14,14.5,16.2
2024-09-29,Namadgi NP ACT,Alpine Jewel Beetle,7,14.5,16.2
2024-09-29,Namadgi NP ACT,Crimson Cicada,38,14.5,16.2
2024-10-06,Namadgi NP ACT,Bogong Moth,78,15.2,20.5
2024-10-06,Namadgi NP ACT,Golden Stag Beetle,11,15.2,20.5
2024-10-06,Namadgi NP ACT,Mountain Grasshopper,26,15.2,20.5
2024-10-06,Namadgi NP ACT,Blue Ant Wasp,16,15.2,20.5
2024-10-06,Namadgi NP ACT,Alpine Jewel Beetle,8,15.2,20.5
2024-10-06,Namadgi NP ACT,Crimson Cicada,45,15.2,20.5
2024-10-13,Namadgi NP ACT,Bogong Moth,88,15.9,14.3
2024-10-13,Namadgi NP ACT,Golden Stag Beetle,12,15.9,14.3
2024-10-13,Namadgi NP ACT,Mountain Grasshopper,30,15.9,14.3
2024-10-13,Namadgi NP ACT,Blue Ant Wasp,18,15.9,14.3
2024-10-13,Namadgi NP ACT,Alpine Jewel Beetle,9,15.9,14.3
2024-10-13,Namadgi NP ACT,Crimson Cicada,52,15.9,14.3
2024-10-20,Namadgi NP ACT,Bogong Moth,95,16.5,18.7
2024-10-20,Namadgi NP ACT,Golden Stag Beetle,13,16.5,18.7
2024-10-20,Namadgi NP ACT,Mountain Grasshopper,33,16.5,18.7
2024-10-20,Namadgi NP ACT,Blue Ant Wasp,20,16.5,18.7
2024-10-20,Namadgi NP ACT,Alpine Jewel Beetle,10,16.5,18.7
2024-10-20,Namadgi NP ACT,Crimson Cicada,58,16.5,18.7
2024-10-27,Namadgi NP ACT,Bogong Moth,100,17.0,12.4
2024-10-27,Namadgi NP ACT,Golden Stag Beetle,14,17.0,12.4
2024-10-27,Namadgi NP ACT,Mountain Grasshopper,36,17.0,12.4
2024-10-27,Namadgi NP ACT,Blue Ant Wasp,22,17.0,12.4
2024-10-27,Namadgi NP ACT,Alpine Jewel Beetle,11,17.0,12.4
2024-10-27,Namadgi NP ACT,Crimson Cicada,64,17.0,12.4
2024-11-03,Namadgi NP ACT,Bogong Moth,105,17.5,16.8
2024-11-03,Namadgi NP ACT,Golden Stag Beetle,15,17.5,16.8
2024-11-03,Namadgi NP ACT,Mountain Grasshopper,38,17.5,16.8
2024-11-03,Namadgi NP ACT,Blue Ant Wasp,23,17.5,16.8
2024-11-03,Namadgi NP ACT,Alpine Jewel Beetle,12,17.5,16.8
2024-11-03,Namadgi NP ACT,Crimson Cicada,70,17.5,16.8
2024-11-10,Namadgi NP ACT,Bogong Moth,110,18.2,11.5
2024-11-10,Namadgi NP ACT,Golden Stag Beetle,16,18.2,11.5
2024-11-10,Namadgi NP ACT,Mountain Grasshopper,41,18.2,11.5
2024-11-10,Namadgi NP ACT,Blue Ant Wasp,24,18.2,11.5
2024-11-10,Namadgi NP ACT,Alpine Jewel Beetle,13,18.2,11.5
2024-11-10,Namadgi NP ACT,Crimson Cicada,76,18.2,11.5
2024-11-17,Namadgi NP ACT,Bogong Moth,115,18.8,14.2
2024-11-17,Namadgi NP ACT,Golden Stag Beetle,17,18.8,14.2
2024-11-17,Namadgi NP ACT,Mountain Grasshopper,43,18.8,14.2
2024-11-17,Namadgi NP ACT,Blue Ant Wasp,25,18.8,14.2
2024-11-17,Namadgi NP ACT,Alpine Jewel Beetle,14,18.8,14.2
2024-11-17,Namadgi NP ACT,Crimson Cicada,82,18.8,14.2
2024-11-24,Namadgi NP ACT,Bogong Moth,118,19.3,9.8
2024-11-24,Namadgi NP ACT,Golden Stag Beetle,18,19.3,9.8
2024-11-24,Namadgi NP ACT,Mountain Grasshopper,45,19.3,9.8
2024-11-24,Namadgi NP ACT,Blue Ant Wasp,25,19.3,9.8
2024-11-24,Namadgi NP ACT,Alpine Jewel Beetle,14,19.3,9.8
2024-11-24,Namadgi NP ACT,Crimson Cicada,88,19.3,9.8
2024-12-01,Namadgi NP ACT,Bogong Moth,120,19.8,12.5
2024-12-01,Namadgi NP ACT,Golden Stag Beetle,18,19.8,12.5
2024-12-01,Namadgi NP ACT,Mountain Grasshopper,46,19.8,12.5
2024-12-01,Namadgi NP ACT,Blue Ant Wasp,26,19.8,12.5
2024-12-01,Namadgi NP ACT,Alpine Jewel Beetle,15,19.8,12.5
2024-12-01,Namadgi NP ACT,Crimson Cicada,93,19.8,12.5
2024-12-08,Namadgi NP ACT,Bogong Moth,122,20.4,8.4
2024-12-08,Namadgi NP ACT,Golden Stag Beetle,19,20.4,8.4
2024-12-08,Namadgi NP ACT,Mountain Grasshopper,47,20.4,8.4
2024-12-08,Namadgi NP ACT,Blue Ant Wasp,26,20.4,8.4
2024-12-08,Namadgi NP ACT,Alpine Jewel Beetle,16,20.4,8.4
2024-12-08,Namadgi NP ACT,Crimson Cicada,97,20.4,8.4
2024-12-15,Namadgi NP ACT,Bogong Moth,124,21.0,11.2
2024-12-15,Namadgi NP ACT,Golden Stag Beetle,20,21.0,11.2
2024-12-15,Namadgi NP ACT,Mountain Grasshopper,47,21.0,11.2
2024-12-15,Namadgi NP ACT,Blue Ant Wasp,27,21.0,11.2
2024-12-15,Namadgi NP ACT,Alpine Jewel Beetle,16,21.0,11.2
2024-12-15,Namadgi NP ACT,Crimson Cicada,101,21.0,11.2
2024-12-22,Namadgi NP ACT,Bogong Moth,125,21.5,7.6
2024-12-22,Namadgi NP ACT,Golden Stag Beetle,20,21.5,7.6
2024-12-22,Namadgi NP ACT,Mountain Grasshopper,48,21.5,7.6
2024-12-22,Namadgi NP ACT,Blue Ant Wasp,27,21.5,7.6
2024-12-22,Namadgi NP ACT,Alpine Jewel Beetle,17,21.5,7.6
2024-12-22,Namadgi NP ACT,Crimson Cicada,105,21.5,7.6
2024-12-29,Namadgi NP ACT,Bogong Moth,126,22.0,10.3
2024-12-29,Namadgi NP ACT,Golden Stag Beetle,21,22.0,10.3
2024-12-29,Namadgi NP ACT,Mountain Grasshopper,48,22.0,10.3
2024-12-29,Namadgi NP ACT,Blue Ant Wasp,27,22.0,10.3
2024-12-29,Namadgi NP ACT,Alpine Jewel Beetle,17,22.0,10.3
2024-12-29,Namadgi NP ACT,Crimson Cicada,108,22.0,10.3
2025-01-05,Namadgi NP ACT,Bogong Moth,128,22.3,9.1
2025-01-05,Namadgi NP ACT,Golden Stag Beetle,21,22.3,9.1
2025-01-05,Namadgi NP ACT,Mountain Grasshopper,49,22.3,9.1
2025-01-05,Namadgi NP ACT,Blue Ant Wasp,28,22.3,9.1
2025-01-05,Namadgi NP ACT,Alpine Jewel Beetle,17,22.3,9.1
2025-01-05,Namadgi NP ACT,Crimson Cicada,111,22.3,9.1
2025-01-12,Namadgi NP ACT,Bogong Moth,130,22.8,12.8
2025-01-12,Namadgi NP ACT,Golden Stag Beetle,22,22.8,12.8
2025-01-12,Namadgi NP ACT,Mountain Grasshopper,49,22.8,12.8
2025-01-12,Namadgi NP ACT,Blue Ant Wasp,28,22.8,12.8
2025-01-12,Namadgi NP ACT,Alpine Jewel Beetle,18,22.8,12.8
2025-01-12,Namadgi NP ACT,Crimson Cicada,114,22.8,12.8
2025-01-19,Namadgi NP ACT,Bogong Moth,132,23.1,8.5
2025-01-19,Namadgi NP ACT,Golden Stag Beetle,22,23.1,8.5
2025-01-19,Namadgi NP ACT,Mountain Grasshopper,50,23.1,8.5
2025-01-19,Namadgi NP ACT,Blue Ant Wasp,29,23.1,8.5
2025-01-19,Namadgi NP ACT,Alpine Jewel Beetle,18,23.1,8.5
2025-01-19,Namadgi NP ACT,Crimson Cicada,116,23.1,8.5
2025-01-26,Namadgi NP ACT,Bogong Moth,130,22.5,14.2
2025-01-26,Namadgi NP ACT,Golden Stag Beetle,21,22.5,14.2
2025-01-26,Namadgi NP ACT,Mountain Grasshopper,50,22.5,14.2
2025-01-26,Namadgi NP ACT,Blue Ant Wasp,29,22.5,14.2
2025-01-26,Namadgi NP ACT,Alpine Jewel Beetle,18,22.5,14.2
